DIA,HORÁRIO,LOCAL,GRUPO,EQUIPE Mandante,PLACAR,EQUIPE Visitante,GOLS_MANDANTE,GOLS_VISITANTE,SIMULADOR
2023-08-05,17h10min,Idalina,A,FECAP,07X00,Engenharia Mackenzie,07,00,False
2023-08-06,13h20 min,Idalina,A,FEI,00X05,Getúlio Vargas,00,05,False
2023-08-06,14h40min,Idalina,B,FEA PUC,00X05,Federal do ABC,00,05,False
2023-08-06,16h,Idalina,B,Medicina Taubaté,00X03,INSPER,00,03,False
2023-08-19,15h10 min,Palestra,B,INSPER,04X03,FEA USP,04,03,False
2023-08-20,13h20 min,Idalina,B,FEA PUC,02X01,Medicina Taubaté,02,01,False
2023-08-20,14h40min,Idalina,B,ESPM,00X03,Federal do ABC,00,03,False
2023-08-20,16h,Idalina,A,Getúlio Vargas,02X01,FECAP,02,01,False
2023-08-26,12h30 min,Palestra,B,FEA USP,01X00,ESPM,01,00,False
2023-08-27,08 h,Idalina,A,EEFE USP,02X04,FEI,02,04,False
2023-08-27,14h40min,Idalina,A,Engenharia Mackenzie,04X03,Economia Mackenzie,04,03,False
2023-09-03,08 h,Idalina,B,Federal do ABC,00X03,INSPER,00,03,False
2023-09-03,13h20min,Idalina,A,FEI,04X01,Engenharia Mackenzie,04,01,False
2023-09-17,12 h,Idalina,B,INSPER,01X00,FEA PUC,01,00,False
2023-09-17,13h20min,Idalina,A,Getúlio Vargas,00X01,EEFE USP,00,01,False
2023-09-17,14h40min,Idalina,A,FEI,01X01,Economia Mackenzie,01,01,False
2023-09-23,20h30 min,Palestra,B,FEA PUC,03X02,ESPM,03,02,False
2023-09-30,17h10 min,Idalina,B,Federal do ABC,02X02,FEA USP,02,02,False
2023-10-07,13 h,SEMEF,A,Economia Mackenzie,04X07,FECAP,04,07,False
2023-10-08,13h20 min,Idalina,A,Getúlio Vargas,08X04,Economia Mackenzie,08,04,False
2023-10-08,14h40min,Idalina,A,FECAP,03X03,FEI,03,03,False
2023-10-21,09h50 min,Palestra,B,FEA USP,03X00,Medicina Taubaté,03,00,False
2023-10-21,15h50min,Idalina,A,Engenharia Mackenzie,03X07,Getúlio Vargas,03,07,False
2023-10-22,09h50min,Palestra,A,EEFE USP,03X01,FECAP,03,01,False
2023-10-22,12h,Idalina,B,FEA USP,02X02,FEA PUC,02,02,False
2023-10-22,13h20min,Idalina,B,INSPER,03X06,ESPM,03,06,False
2023-10-22,14h40min,Idalina,B,Medicina Taubaté,00X03,Federal do ABC,00,03,False
2023-10-28,13 h,Palestra,A,Economia Mackenzie,02X13,EEFE USP,02,13,False
2023-10-29,13 h,Palestra,B,ESPM,04X04,Medicina Taubaté,04,04,False
2023-10-29,17h30min,Palestra,A,Engenharia Mackenzie,01X00,EEFE USP,01,00,False
